FIPS,x,y,caves,WNS,tau,area,sr,Hibernate,MaherWNS
27067,78154.31612,856254.1337,0,Inf,254.5625,2220.69,7,4,Inf
27069,-58259.62371,1257275.751,0,Inf,281.9,2846.57,6,3,Inf
27071,166082.8657,1200338.192,0,Inf,289.2545455,8179.81,6,3,Inf
27073,-12632.15272,838104.1708,0,Inf,252.4210526,2082.58,6,3,Inf
27075,344370.3513,1140074,3,Inf,292.5681818,5911.25,5,3,Inf
27077,81246.96012,1256648.604,0,Inf,287.2857143,4572.3,6,3,Inf
27079,179613.0647,770569.85,1,Inf,233.625,1309.75,7,4,Inf
27081,-21370.72847,773506.6089,0,Inf,253.0833333,1408.01,6,3,Inf
27083,12669.0834,773656.7425,0,Inf,248.9166667,1884.5,6,3,Inf
27085,137237.7227,819413.8084,0,Inf,252.7142857,1224.84,7,4,Inf
27087,14459.18617,1096925.222,0,Inf,279.4444444,1505.78,6,3,Inf
27089,-27193.18538,1210907.61,0,Inf,281.3,4658.88,6,3,Inf
27091,116352.8573,692085.1203,0,Inf,237.2666667,1889.17,7,4,Inf
27093,116009.7886,852372.4082,0,Inf,247.3636364,1756.92,7,4,Inf
27095,183928.8095,945302.587,0,Inf,269.9285714,1765.16,7,4,Inf
27097,134131.7745,952733.8795,0,Inf,258.6818182,2995.25,7,4,Inf
27099,260825.9415,695497.4891,0,Inf,251.6875,1859.07,7,4,Inf
27101,18912.85261,730048.3007,0,Inf,249.25,1862.33,7,4,Inf
27103,139764.0271,767751.9225,0,Inf,236,1161.36,7,4,Inf
27105,19808.51449,691245.9136,0,Inf,250.4166667,1869.74,7,4,Inf
27107,-34498.93293,1097071.711,0,Inf,264.1333333,2262.43,6,3,Inf
27109,287452.5703,733266.6072,31,Inf,248.7272727,1720.64,7,4,Inf
27111,22185.882,995616.1502,0,Inf,251.3333333,5794.81,6,3,Inf
27113,-2445.00733,1178714.089,0,Inf,239.3076923,1595.64,6,3,Inf
27115,252068.6752,968051.9114,1,Inf,282.5416667,3669.81,7,4,Inf
27117,-20655.96316,730131.1701,0,Inf,256.9166667,1203.4,6,3,Inf
27119,-31086.18474,1146587.46,0,Inf,267.925,5135.04,6,3,Inf
27121,43355.51747,904252.1529,0,Inf,256.0625,1858.58,7,4,Inf
27123,227864.03,841399.0475,2,Inf,234.3333333,314.274,7,4,Inf
27125,-7200.947789,1156840.131,0,Inf,255.2,1215.06,6,3,Inf
27127,59354.62489,772825.7806,0,Inf,250.8125,2294.54,7,4,Inf
27129,83141.65727,809068.6141,0,Inf,255.5555556,2546.92,7,4,Inf
27131,215295.8135,770944.1034,0,Inf,243.5833333,1414.64,7,4,Inf
27133,-20304.51788,691293.2845,0,Inf,253.6666667,1253,6,3,Inf
27135,13946.36617,1256717.005,0,Inf,280.7241379,4357.87,6,3,Inf
27137,267197.7878,1132845.704,1,5,292.7461538,17633,6,3,6
27139,195658.4583,802413.9344,1,Inf,232.4444444,917.156,7,4,Inf
27141,174617.0729,890076.369,0,Inf,252,1158.81,7,4,Inf
27143,139643.5324,793215.5035,0,Inf,244.3076923,1527.33,7,4,Inf
27145,108239.7117,901205.1358,0,Inf,256.09375,3594.68,7,4,Inf
27147,221559.3959,733251.8166,0,Inf,243.75,1119.14,7,4,Inf
27149,-19.174378,904116.1457,0,Inf,251.25,1491.27,6,3,Inf
27151,25194.19017,870487.6641,0,Inf,252.3636364,1938.43,7,4,Inf
27153,85380.04001,958411.5615,0,Inf,271.25,2538.28,7,4,Inf
27155,-36761.69682,924830.1206,0,Inf,253.6363636,1510.26,6,3,Inf
27157,299205.7795,764596.063,14,Inf,250,1474.95,7,4,Inf
27159,79094.44518,1015454.313,0,Inf,263.3333333,1401.71,6,3,Inf
27161,192732.2404,732428.9879,0,Inf,239.75,1119.32,7,4,Inf
27163,244783.2406,848837.1209,1,Inf,242.75,1060.65,7,4,Inf
27165,110781.372,725912.3776,0,Inf,238.8333333,1139.07,7,4,Inf
27167,-35650.55159,989675.6998,0,Inf,237.1764706,1888.53,6,3,Inf
27169,338180.8463,732511.2833,43,Inf,238.25,1570.79,7,4,Inf
27171,159265.9218,860157.5911,0,Inf,240.8,1858.26,7,4,Inf
27173,9955.782899,806944.8101,0,Inf,257.8181818,1912.57,6,3,Inf
28001,439357.7651,-660729.0139,0,Inf,124.1111111,1326.82,11,5,Inf
28003,673017.4174,-266950.4372,0,Inf,179.5714286,985.311,15,10,Inf
28005,492699.0487,-693416.3637,0,Inf,123.75,1946.61,11,5,Inf
28007,593165.48,-475463.3944,2,Inf,157.2857143,1802.06,11,6,Inf
28009,617928.4906,-278738.7918,2,Inf,176.2857143,1046.9,14,9,Inf
28011,469064.2247,-401996.0174,0,Inf,138.55,2548.65,11,6,Inf
28013,611205.3135,-376486.5372,2,Inf,161.6363636,1542.58,11,6,Inf
28015,561395.3032,-435707.9575,0,Inf,156.1666667,1644.84,11,6,Inf
28017,647032.9058,-377223.3573,0,Inf,175.6363636,1364.22,11,6,Inf
28019,622972.5024,-444635.9405,0,Inf,165.125,1065.62,11,6,Inf
28021,478218.2576,-605271.2432,1,Inf,137.3,1261.43,12,6,Inf
28023,686516.0865,-583476.7167,1,Inf,132,1758.31,12,6,Inf
28025,661900.9274,-404810.7095,0,Inf,167.1666667,894.378,11,6,Inf
28027,492524.0059,-352180.0502,0,Inf,155.6363636,1569.3,11,6,Inf
28029,521980.0938,-613778.647,1,Inf,131.75,1969.71,12,6,Inf
28031,608586.8251,-635215.0207,0,Inf,146.5714286,1076.82,12,6,Inf
28033,542450.2976,-276587.3126,0,Inf,156.5,1362.92,14,9,Inf
28035,639956.7671,-682752.079,0,Inf,133.9,1226.24,12,6,Inf
28037,482709.1742,-660261.0673,0,Inf,123.7777778,1468.69,12,6,Inf
28039,700486.8305,-714271.1467,0,Inf,126,1273.07,11,6,Inf
28041,698451.2886,-675334.9606,0,Inf,144.375,1847.4,12,6,Inf
28043,569674.6047,-398900.2542,0,Inf,157,1160.7,11,6,Inf
28045,623747.4324,-768932.8503,0,Inf,107.25,1119.01,11,6,Inf
28047,659595.6754,-756117.463,0,Inf,107.2727273,1541.54,11,6,Inf
28049,520723.9169,-569964.3507,0,Inf,127.8823529,2242.2,12,6,Inf
28051,547291.4205,-472968.3966,0,Inf,145.6666667,1922.66,11,6,Inf
28053,507159.3785,-473899.9328,0,Inf,134.3333333,1241.07,11,6,Inf
28055,464937.7624,-520297.7625,0,Inf,139.4,1466.25,12,6,Inf
28057,697200.6826,-332486.0068,0,Inf,176.25,1395.74,13,8,Inf
28059,705048.9861,-750033.5257,0,Inf,114.9333333,1932.98,11,6,Inf
28061,646491.83,-589440.1672,1,7,146.5384615,1748.77,12,6,8
28063,468555.7205,-632388.6533,0,Inf,131.2222222,1342.84,12,6,Inf
28065,583731.7054,-643955.1981,0,Inf,142.875,1048.15,12,6,Inf
28067,644872.7835,-633852.207,2,Inf,147.0625,1811.31,12,6,Inf
28069,684858.8981,-504324.6118,0,Inf,161.8235294,1984.71,11,6,Inf
28071,594057.6557,-331780.0488,0,Inf,157.5,1802.93,12,7,Inf
28073,615954.7739,-682184.5074,0,Inf,128.9,1285.31,12,6,Inf
28075,685894.3417,-543433.6471,1,Inf,151.6666667,1848.88,12,6,Inf
28077,557245.2635,-648340.484,0,Inf,139,1168.53,12,6,Inf
28079,602823.9597,-510422.4345,0,Inf,134.6,1514.62,11,6,Inf
28081,668050.0899,-335125.4939,0,Inf,166.25,1130.02,12,7,Inf
28083,526089.1111,-424610.5706,0,Inf,142.0909091,1629.35,11,6,Inf
28085,524362.6966,-651179.616,0,Inf,135,1572.69,12,6,Inf
28087,695839.9604,-422270.4203,0,Inf,153.9,1457.46,12,7,Inf
28089,556393.6165,-526699.088,0,Inf,142.2142857,1867.47,12,6,Inf
28091,586359.4438,-681979.155,0,Inf,128,1406.65,12,6,Inf
28093,589616.8211,-286070.1634,0,Inf,175.9230769,1858.01,14,9,Inf
28095,689921.831,-376688.4208,0,Inf,169.4666667,1988.6,12,7,Inf
28097,589471.753,-429098.9019,0,Inf,171.1111111,1113.75,11,6,Inf
28099,640656.9565,-507830.339,1,7,148.9166667,1479.25,11,6,8
28101,643366.2134,-547085.6806,0,Inf,159.8333333,1503.74,12,6,Inf
28103,688393.4867,-464264.3411,0,Inf,157.4285714,1811.81,11,6,Inf
28105,657302.91,-431512.1574,0,Inf,163.2727273,1186.76,11,6,Inf
28107,551554.1285,-333105.9246,0,Inf,158.6,1783.37,11,6,Inf
28109,612068.1734,-731259.1974,0,Inf,106.6666667,2111.92,11,6,Inf
